Hash Implementation,chunk,lf 0.1 valid,lf 0.1 empty,lf 0.3 valid,lf 0.3 empty,lf 0.5 valid,lf 0.5 empty,lf 0.7 valid,lf 0.7 empty,lf 0.9 valid,lf 0.9 empty
Quadratic Probing,16,6,95,40,61,53,48,63,38,88,13
Quadratic Probing,17,7,94,25,76,48,53,63,38,82,19
Quadratic Probing,18,11,90,25,76,41,60,56,45,81,20
Quadratic Probing,19,10,91,38,63,59,42,79,22,94,7
Quadratic Probing,20,8,93,23,78,42,59,62,39,81,20
Quadratic Probing,21,11,90,27,74,42,59,71,30,85,16
Quadratic Probing,22,9,92,31,70,62,39,81,20,99,2
Quadratic Probing,23,8,93,26,75,45,56,68,33,87,14
Quadratic Probing,24,8,93,26,75,44,57,59,42,73,28
Quadratic Probing,25,13,88,32,69,63,38,83,18,98,3
Quadratic Probing,26,13,88,36,65,52,49,74,27,92,9
Quadratic Probing,27,10,91,28,73,51,50,72,29,94,7
Quadratic Probing,28,6,95,22,79,46,55,63,38,88,13
Quadratic Probing,29,15,86,31,70,53,48,74,27,98,3
Quadratic Probing,30,13,88,31,70,42,59,67,34,94,7
Quadratic Probing,31,17,84,35,66,60,41,78,23,99,2
Quadratic Probing,32,9,92,25,76,40,61,60,41,92,9
Quadratic Probing,33,8,93,32,69,55,46,72,29,91,10
Quadratic Probing,34,12,89,29,72,48,53,66,35,96,5
Quadratic Probing,35,13,88,32,69,50,51,66,35,92,9
Quadratic Probing,36,3,98,28,73,56,45,70,31,92,9
Quadratic Probing,37,9,92,29,72,51,50,74,27,91,10
Quadratic Probing,38,8,93,22,79,48,53,74,27,90,11
Quadratic Probing,39,10,91,27,74,53,48,84,17,96,5
Quadratic Probing,40,7,94,30,71,49,52,70,31,91,10
Quadratic Probing,41,11,90,34,67,55,46,77,24,95,6
Quadratic Probing,42,8,93,27,74,44,57,67,34,92,9
Quadratic Probing,43,11,90,30,71,49,52,66,35,93,8
Quadratic Probing,44,7,94,29,72,48,53,74,27,85,16
Quadratic Probing,45,7,94,29,72,58,43,74,27,94,7
Quadratic Probing,46,8,93,27,74,47,54,77,24,94,7
Quadratic Probing,47,12,89,31,70,49,52,78,23,96,5
Quadratic Probing,48,15,86,36,65,64,37,81,20,92,9
Quadratic Probing,49,14,87,30,71,49,52,62,39,93,8
Quadratic Probing,50,14,87,37,64,51,50,73,28,96,5
Quadratic Probing,51,8,93,28,73,46,55,67,34,93,8
Quadratic Probing,52,12,89,33,68,57,44,76,25,97,4
Quadratic Probing,53,13,88,27,74,55,46,76,25,93,8
Quadratic Probing,54,11,90,37,64,55,46,79,22,97,4
Quadratic Probing,55,10,91,37,64,47,54,63,38,89,12
Quadratic Probing,56,13,88,34,67,52,49,75,26,88,13
Quadratic Probing,57,12,89,37,64,56,45,77,24,94,7
Quadratic Probing,58,11,90,25,76,45,56,59,42,84,17
Quadratic Probing,59,13,88,32,69,40,61,64,37,84,17
Quadratic Probing,60,14,87,34,67,44,57,65,36,94,7
Quadratic Probing,61,7,94,28,73,49,52,68,33,86,15
Quadratic Probing,62,10,91,27,74,41,60,59,42,84,17
Quadratic Probing,63,10,91,30,71,57,44,75,26,88,13
Quadratic Probing,64,6,95,26,75,44,57,73,28,95,6
Quadratic Probing,65,11,90,35,66,56,45,78,23,93,8
Quadratic Probing,66,11,90,30,71,51,50,75,26,88,13
Quadratic Probing,67,15,86,40,61,62,39,86,15,97,4
Quadratic Probing,68,6,95,20,81,38,63,58,43,87,14
Quadratic Probing,69,15,86,34,67,61,40,77,24,93,8
Quadratic Probing,70,8,93,22,79,47,54,63,38,89,12
Quadratic Probing,71,8,93,30,71,44,57,63,38,89,12
Quadratic Probing,72,14,87,37,64,55,46,75,26,95,6
Quadratic Probing,73,9,92,38,63,54,47,77,24,96,5
Quadratic Probing,74,5,96,28,73,50,51,77,24,99,2
Quadratic Probing,75,11,90,28,73,48,53,75,26,93,8
Quadratic Probing,76,11,90,25,76,46,55,64,37,89,12
Quadratic Probing,77,15,86,32,69,48,53,58,43,84,17
Quadratic Probing,78,10,91,36,65,55,46,67,34,93,8
Quadratic Probing,79,9,92,23,78,39,62,64,37,94,7
Quadratic Probing,80,7,94,30,71,48,53,74,27,89,12
Quadratic Probing,81,11,90,37,64,54,47,80,21,99,2
Quadratic Probing,82,13,88,30,71,53,48,67,34,93,8
Quadratic Probing,83,12,89,36,65,51,50,69,32,86,15
Quadratic Probing,84,10,91,23,78,45,56,70,31,91,10
Quadratic Probing,85,6,95,23,78,43,58,65,36,89,12
Quadratic Probing,86,15,86,36,65,55,46,72,29,95,6
Quadratic Probing,87,6,95,23,78,53,48,69,32,92,9
Quadratic Probing,88,4,97,25,76,48,53,66,35,87,14
Quadratic Probing,89,7,94,30,71,57,44,78,23,94,7
Quadratic Probing,90,14,87,31,70,49,52,69,32,91,10
Quadratic Probing,91,12,89,32,69,57,44,76,25,90,11
Quadratic Probing,92,10,91,38,63,60,41,76,25,96,5
Quadratic Probing,93,9,92,32,69,55,46,71,30,88,13
Quadratic Probing,94,10,91,34,67,57,44,84,17,95,6
Quadratic Probing,95,6,95,29,72,47,54,65,36,85,16
Quadratic Probing,96,9,92,31,70,59,42,76,25,97,4
Quadratic Probing,97,9,92,32,69,52,49,70,31,91,10
Quadratic Probing,98,7,94,34,67,52,49,66,35,85,16
Quadratic Probing,99,1,9,2,8,3,7,6,4,8,2
LinkedList,0,13,88,30,71,41,60,48,53,61,40
LinkedList,1,15,86,33,68,48,53,60,41,67,34
LinkedList,2,12,89,26,75,44,57,55,46,62,39
LinkedList,3,9,92,28,73,39,62,58,43,66,35
LinkedList,4,9,92,28,73,40,61,53,48,62,39
LinkedList,5,9,92,29,72,45,56,52,49,63,38
LinkedList,6,13,88,32,69,41,60,53,48,64,37
LinkedList,7,14,87,31,70,45,56,54,47,67,34
LinkedList,8,7,94,28,73,40,61,55,46,65,36
LinkedList,9,7,94,24,77,36,65,48,53,57,44
LinkedList,10,6,95,20,81,37,64,50,51,61,40
LinkedList,11,9,92,22,79,33,68,47,54,58,43
LinkedList,12,12,89,31,70,45,56,55,46,70,31
LinkedList,13,6,95,26,75,34,67,50,51,60,41
LinkedList,14,10,91,24,77,45,56,57,44,69,32
LinkedList,15,6,95,20,81,35,66,45,56,54,47
LinkedList,16,6,95,35,66,43,58,50,51,62,39
LinkedList,17,7,94,25,76,44,57,53,48,62,39
LinkedList,18,11,90,22,79,34,67,45,56,60,41
LinkedList,19,10,91,31,70,44,57,52,49,62,39
LinkedList,20,8,93,22,79,39,62,52,49,62,39
LinkedList,21,10,91,22,79,34,67,54,47,60,41
LinkedList,22,7,94,28,73,49,52,59,42,70,31
LinkedList,23,8,93,25,76,40,61,54,47,62,39
LinkedList,24,8,93,24,77,37,64,46,55,53,48
LinkedList,25,11,90,26,75,53,48,64,37,74,27
LinkedList,26,12,89,30,71,41,60,52,49,61,40
LinkedList,27,10,91,25,76,39,62,55,46,72,29
LinkedList,28,6,95,20,81,39,62,47,54,61,40
LinkedList,29,14,87,28,73,44,57,61,40,71,30
LinkedList,30,12,89,27,74,35,66,50,51,66,35
LinkedList,31,17,84,33,68,47,54,55,46,67,34
LinkedList,32,8,93,22,79,35,66,44,57,59,42
LinkedList,33,7,94,29,72,44,57,56,45,65,36
LinkedList,34,11,90,26,75,40,61,53,48,69,32
LinkedList,35,12,89,26,75,38,63,47,54,62,39
LinkedList,36,3,98,26,75,48,53,57,44,67,34
LinkedList,37,9,92,27,74,39,62,52,49,65,36
LinkedList,38,8,93,20,81,39,62,56,45,63,38
LinkedList,39,10,91,23,78,41,60,57,44,70,31
LinkedList,40,7,94,27,74,42,59,56,45,62,39
LinkedList,41,11,90,29,72,44,57,53,48,62,39
LinkedList,42,8,93,26,75,39,62,54,47,66,35
LinkedList,43,11,90,26,75,42,59,53,48,65,36
LinkedList,44,7,94,26,75,40,61,57,44,64,37
LinkedList,45,7,94,28,73,49,52,58,43,71,30
LinkedList,46,8,93,27,74,39,62,53,48,62,39
LinkedList,47,11,90,26,75,39,62,55,46,70,31
LinkedList,48,14,87,30,71,52,49,60,41,69,32
LinkedList,49,12,89,27,74,43,58,51,50,62,39
LinkedList,50,13,88,30,71,42,59,56,45,68,33
LinkedList,51,8,93,25,76,38,63,55,46,66,35
LinkedList,52,11,90,27,74,43,58,58,43,70,31
LinkedList,53,13,88,25,76,47,54,60,41,68,33
LinkedList,54,9,92,31,70,44,57,59,42,74,27
LinkedList,55,10,91,35,66,41,60,52,49,60,41
LinkedList,56,12,89,30,71,42,59,57,44,65,36
LinkedList,57,11,90,32,69,44,57,54,47,65,36
LinkedList,58,11,90,24,77,37,64,44,57,56,45
LinkedList,59,13,88,30,71,37,64,55,46,67,34
LinkedList,60,13,88,32,69,37,64,47,54,64,37
LinkedList,61,6,95,25,76,42,59,54,47,61,40
LinkedList,62,10,91,24,77,34,67,45,56,57,44
LinkedList,63,9,92,24,77,46,55,56,45,63,38
LinkedList,64,5,96,22,79,35,66,53,48,68,33
LinkedList,65,11,90,30,71,45,56,59,42,66,35
LinkedList,66,11,90,27,74,42,59,57,44,63,38
LinkedList,67,14,87,35,66,45,56,60,41,70,31
LinkedList,68,6,95,18,83,30,71,45,56,56,45
LinkedList,69,15,86,29,72,49,52,59,42,70,31
LinkedList,70,8,93,22,79,41,60,49,52,60,41
LinkedList,71,8,93,26,75,38,63,50,51,66,35
LinkedList,72,12,89,32,69,45,56,53,48,61,40
LinkedList,73,9,92,33,68,43,58,57,44,69,32
LinkedList,74,5,96,25,76,41,60,57,44,70,31
LinkedList,75,11,90,25,76,38,63,55,46,68,33
LinkedList,76,10,91,23,78,40,61,54,47,64,37
LinkedList,77,15,86,30,71,40,61,46,55,62,39
LinkedList,78,10,91,32,69,47,54,53,48,68,33
LinkedList,79,9,92,21,80,31,70,50,51,66,35
LinkedList,80,7,94,25,76,39,62,53,48,63,38
LinkedList,81,11,90,34,67,47,54,60,41,71,30
LinkedList,82,12,89,27,74,47,54,56,45,62,39
LinkedList,83,12,89,32,69,41,60,54,47,64,37
LinkedList,84,10,91,21,80,41,60,55,46,64,37
LinkedList,85,6,95,21,80,38,63,51,50,62,39
LinkedList,86,14,87,30,71,44,57,53,48,68,33
LinkedList,87,6,95,20,81,40,61,53,48,58,43
LinkedList,88,4,97,22,79,41,60,53,48,66,35
LinkedList,89,7,94,28,73,45,56,61,40,70,31
LinkedList,90,14,87,30,71,43,58,54,47,65,36
LinkedList,91,12,89,29,72,43,58,55,46,60,41
LinkedList,92,10,91,31,70,48,53,56,45,65,36
LinkedList,93,9,92,29,72,46,55,53,48,63,38
LinkedList,94,9,92,28,73,45,56,60,41,68,33
LinkedList,95,6,95,27,74,40,61,52,49,63,38
LinkedList,96,8,93,28,73,46,55,58,43,69,32
LinkedList,97,9,92,32,69,46,55,55,46,62,39
LinkedList,98,7,94,30,71,40,61,50,51,60,41
LinkedList,99,1,9,2,8,3,7,5,5,6,4
Cuckoo,0,8,254,9,373,12,472,8,576,8,576
Cuckoo,1,6,256,1,381,6,478,7,577,7,577
Cuckoo,2,5,257,6,376,2,482,4,580,4,580
Cuckoo,3,2,260,6,376,14,470,11,573,11,573
Cuckoo,4,4,258,1,381,7,477,1,583,1,583
Cuckoo,5,6,256,8,374,9,475,4,580,4,580
Cuckoo,6,3,259,3,379,10,474,3,581,3,581
Cuckoo,7,3,259,7,375,8,476,1,583,1,583
Cuckoo,8,2,260,5,377,8,476,7,577,7,577
Cuckoo,9,4,258,6,376,6,478,3,581,3,581
Cuckoo,10,8,254,7,375,8,476,7,577,7,577
Cuckoo,11,4,258,6,376,12,472,7,577,7,577
Cuckoo,12,8,254,3,379,6,478,3,581,3,581
Cuckoo,13,4,258,4,378,14,470,5,579,5,579
Cuckoo,14,3,259,4,378,9,475,6,578,6,578
Cuckoo,15,4,258,4,378,8,476,6,578,6,578
Cuckoo,16,6,256,5,377,8,476,6,578,6,578
Cuckoo,17,2,260,3,379,5,479,2,582,2,582
Cuckoo,18,3,259,3,379,6,478,6,578,6,578
Cuckoo,19,3,259,3,379,5,479,3,581,3,581
Cuckoo,20,8,254,5,377,7,477,8,576,8,576
Cuckoo,21,6,256,5,377,4,480,4,580,4,580
Cuckoo,22,3,259,3,379,7,477,3,581,3,581
Cuckoo,23,4,258,5,377,4,480,6,578,6,578
Cuckoo,24,5,257,4,378,13,471,6,578,6,578
Cuckoo,25,5,257,4,378,8,476,5,579,5,579
Cuckoo,26,2,260,5,377,4,480,6,578,6,578
Cuckoo,27,2,260,4,378,6,478,1,583,1,583
Cuckoo,28,1,261,2,380,3,481,3,581,3,581
Cuckoo,29,3,259,2,380,4,480,8,576,8,576
Cuckoo,30,9,253,4,378,4,480,3,581,3,581
Cuckoo,31,7,255,7,375,8,476,7,577,7,577
Cuckoo,32,1,261,5,377,6,478,2,582,2,582
Cuckoo,33,6,256,4,378,9,475,3,581,3,581
Cuckoo,34,1,261,3,379,7,477,10,574,10,574
Cuckoo,35,2,260,4,378,7,477,6,578,6,578
Cuckoo,36,4,258,2,380,2,482,4,580,4,580
Cuckoo,37,1,261,7,375,6,478,10,574,10,574
Cuckoo,38,4,258,5,377,4,480,4,580,4,580
Cuckoo,39,3,259,3,379,4,480,4,580,4,580
Cuckoo,40,9,253,8,374,5,479,5,579,5,579
Cuckoo,41,5,257,7,375,1,483,9,575,9,575
Cuckoo,42,4,258,4,378,5,479,6,578,6,578
Cuckoo,43,8,254,7,375,5,479,6,578,6,578
Cuckoo,44,3,259,2,380,5,479,11,573,11,573
Cuckoo,45,2,260,8,374,4,480,7,577,7,577
Cuckoo,46,5,257,4,378,5,479,6,578,6,578
Cuckoo,47,6,256,4,378,3,481,6,578,6,578
Cuckoo,48,4,258,3,379,6,478,6,578,6,578
Cuckoo,49,6,256,5,377,1,483,7,577,7,577
Cuckoo,50,6,256,7,375,2,482,9,575,9,575
Cuckoo,51,5,257,3,379,3,481,13,571,13,571
Cuckoo,52,0,262,2,380,1,483,6,578,6,578
Cuckoo,53,5,257,4,378,2,482,10,574,10,574
Cuckoo,54,7,255,6,376,7,477,10,574,10,574
Cuckoo,55,7,255,3,379,2,482,7,577,7,577
Cuckoo,56,1,261,6,376,3,481,9,575,9,575
Cuckoo,57,7,255,6,376,3,481,12,572,12,572
Cuckoo,58,1,261,10,372,2,482,14,570,14,570
Cuckoo,59,3,259,2,380,4,480,11,573,11,573
Cuckoo,60,6,256,4,378,5,479,9,575,9,575
Cuckoo,61,11,251,0,382,6,478,10,574,10,574
Cuckoo,62,4,258,5,377,4,480,7,577,7,577
Cuckoo,63,3,259,2,380,2,482,9,575,9,575
Cuckoo,64,3,259,4,378,4,480,5,579,5,579
Cuckoo,65,2,260,4,378,3,481,8,576,8,576
Cuckoo,66,3,259,6,376,3,481,6,578,6,578
Cuckoo,67,4,258,3,379,2,482,8,576,8,576
Cuckoo,68,6,256,5,377,5,479,6,578,6,578
Cuckoo,69,2,260,7,375,7,477,8,576,8,576
Cuckoo,70,8,254,6,376,5,479,12,572,12,572
Cuckoo,71,1,261,6,376,6,478,11,573,11,573
Cuckoo,72,6,256,2,380,5,479,12,572,12,572
Cuckoo,73,5,257,11,371,11,473,7,577,7,577
Cuckoo,74,6,256,3,379,1,483,5,579,5,579
Cuckoo,75,7,255,9,373,5,479,12,572,12,572
Cuckoo,76,1,261,4,378,5,479,11,573,11,573
Cuckoo,77,3,259,4,378,8,476,10,574,10,574
Cuckoo,78,5,257,4,378,2,482,8,576,8,576
Cuckoo,79,5,257,5,377,6,478,3,581,3,581
Cuckoo,80,3,259,3,379,5,479,4,580,4,580
Cuckoo,81,3,259,3,379,8,476,6,578,6,578
Cuckoo,82,4,258,4,378,1,483,8,576,8,576
Cuckoo,83,3,259,11,371,12,472,6,578,6,578
Cuckoo,84,6,256,3,379,8,476,4,580,4,580
Cuckoo,85,6,256,6,376,8,476,8,576,8,576
Cuckoo,86,4,258,2,380,10,474,10,574,10,574
Cuckoo,87,1,261,5,377,9,475,5,579,5,579
Cuckoo,88,4,258,7,375,8,476,10,574,10,574
Cuckoo,89,7,255,8,374,3,481,7,577,8,576
Cuckoo,90,2,260,4,378,8,476,3,581,3,581
Cuckoo,91,1,261,8,374,8,476,8,576,8,576
Cuckoo,92,7,255,6,376,7,477,9,575,9,575
Cuckoo,93,6,256,8,374,7,477,8,576,8,576
Cuckoo,94,2,260,2,380,9,475,7,577,7,577
Cuckoo,95,3,259,8,374,11,473,7,577,7,577
Cuckoo,96,2,260,9,373,7,477,4,580,4,580
Cuckoo,97,7,255,5,377,3,481,5,579,5,579
Cuckoo,98,6,256,9,373,8,476,6,578,6,578
Cuckoo,99,3,133,2,338,5,285,3,487,3,487
